Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0021734,0.01739,1.8681,0,0,0,12177,24010,22.551,-5.9494,22718,-26.782,7737.8,0,0,0,0,0,0,package://卫星1号urdf.SLDASM/meshes/base_link.STL,0.79216,0.81961,0.93333,0.25,0,0,0,0,0,0,package://卫星1号urdf.SLDASM/meshes/base_link.STL,,母架-1,坐标系4,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
taiyangban_Link,-2.81413785386819E-05,-0.00098378177057673,4.93893038676484,0,0,0,738.165777813078,5127.11940243927,-5.2573675695612,0.0045557067928942,4943.47984737629,0.159260900777422,184.248094037069,0,0,0,0,0,0,package://卫星1号urdf.SLDASM/meshes/taiyangban_Link.STL,1,1,1,1,0,0,0,0,0,0,package://卫星1号urdf.SLDASM/meshes/taiyangban_Link.STL,,帆板1-2,坐标系2,基准轴1,tyb1,continuous,0.92,-0.3,0.775,0,1.5708,0,base_link,0,0,-1,,,,,,,,,,,,
taiyangban2_Link,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://卫星1号urdf.SLDASM/meshes/taiyangban2_Link.STL,1,1,1,1,0,0,0,0,0,0,package://卫星1号urdf.SLDASM/meshes/taiyangban2_Link.STL,,帆板2-1,坐标系3,基准轴2,tyb2,continuous,-0.9,-0.3,0.775,3.1416,1.5708,0,base_link,0,0,1,,,,,,,,,,,,
