Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
starlink_space_manipulator_base_link,-0.00908719924946466,0.0225428225681148,-0.00851924929637313,0,0,0,8.66024015898073,0.0960303512697639,1.65511904636803E-18,6.22039820639877E-19,0.103454922260914,-9.68471289978311E-19,0.0960303512697639,0,0,0,0,0,0,package://starlink_space_manipulator_merged.SLDASM9/meshes/starlink_space_manipulator_base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://starlink_space_manipulator_merged.SLDASM9/meshes/starlink_space_manipulator_base_link.STL,,Main_carrier_of_spool_cover-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
starlink_space_manipulator_Shoulder_link_1,-0.000399471745595769,-0.100006574194712,-0.17423940484461,0,0,0,5.16309216784981,0.0524543852135592,0.00348154867667969,6.96526910910627E-05,0.0306595326318824,-0.00056674368052247,0.0439979075615329,0,0,0,0,0,0,package://starlink_space_manipulator_merged.SLDASM9/meshes/starlink_space_manipulator_Shoulder_link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://starlink_space_manipulator_merged.SLDASM9/meshes/starlink_space_manipulator_Shoulder_link_1.STL,,Shoulder_link-2,Origin_starlink_space_manipulator_Shoulder_link_1_yaw,Axis_starlink_space_manipulator_Shoulder_link_1_yaw,starlink_space_manipulator_Shoulder_link_1_yaw,revolute,-0.0090872,-0.065,-0.0085192,1.5708,-0.15574,3.1416,starlink_space_manipulator_base_link,0,0,-1,0,0,0,0,,,,,,,,
starlink_space_manipulator_Upper_arm_Link_1,0.402106341472203,-0.696465272634528,-0.170177523085579,0,0,0,5.05309869040685,0.388719013133801,0.210155896498943,9.30829370680679E-08,0.146049057575642,1.71830458004218E-07,0.500677708275447,0,0,0,0,0,0,package://starlink_space_manipulator_merged.SLDASM9/meshes/starlink_space_manipulator_Upper_arm_Link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://starlink_space_manipulator_merged.SLDASM9/meshes/starlink_space_manipulator_Upper_arm_Link_1.STL,,Upper_arm_link-1,Origin_starlink_space_manipulator_Upper_arm_Link_1_roll,Axis_starlink_space_manipulator_Upper_arm_Link_1_roll,starlink_space_manipulator_Upper_arm_Link_1_roll,revolute,0,-0.2,-0.18,1.5708,0.90646,1.5708,starlink_space_manipulator_Shoulder_link_1,0,0,-1,0,0,0,0,,,,,,,,
starlink_space_manipulator_Mid_arm_Link_1,-0.000406052776441013,0.317722269561105,0.0155331755135703,0,0,0,1.57635531881168,0.133610363618846,5.33750993405138E-05,-3.60473795202962E-09,0.00502119434334708,-2.514275749911E-05,0.134586018527477,0,0,0,0,0,0,package://starlink_space_manipulator_merged.SLDASM9/meshes/starlink_space_manipulator_Mid_arm_Link_1.STL,1,1,1,1,0,0,0,0,0,0,package://starlink_space_manipulator_merged.SLDASM9/meshes/starlink_space_manipulator_Mid_arm_Link_1.STL,,主臂2-1,Origin_starlink_space_manipulator_Mid_arm_Link_1_roll,Axis_starlink_space_manipulator_Mid_arm_Link_1_roll,starlink_space_manipulator_Mid_arm_Link_1_roll,revolute,0.599999999999673,-1.03923048454122,0,-3.14159265358979,0,0.828250280535091,starlink_space_manipulator_Upper_arm_Link_1,0,0,-1,0,0,0,0,,,,,,,,
starlink_space_manipulator_Upper_wrist_Link_1,-0.000400003664721815,-0.201565878030355,-0.00216705855311664,0,0,0,0.994770641034713,0.00165409639029414,-7.59103925411082E-06,-3.17403155320863E-06,0.00201437937768072,2.63246464091218E-06,0.00159638838344539,0,0,0,0,0,0,package://starlink_space_manipulator_merged.SLDASM9/meshes/starlink_space_manipulator_Upper_wrist_Link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://starlink_space_manipulator_merged.SLDASM9/meshes/starlink_space_manipulator_Upper_wrist_Link_1.STL,,Mid_2号电机-1;5号关节-2,Origin_starlink_space_manipulator_Upper_wrist_Link_1_yaw,Axis_starlink_space_manipulator_Upper_wrist_Link_1_yaw,starlink_space_manipulator_Upper_wrist_Link_1_yaw,revolute,-0.00050155183276912,0.686793643713439,0.0155010481432086,0,-0.0763876794035917,3.14159265358979,starlink_space_manipulator_Mid_arm_Link_1,0,-1,0,0,0,0,0,,,,,,,,
starlink_space_manipulator_Upper_wrist_Link_2,8.45304168883843E-08,0.0848318719623631,-0.00515657391755576,0,0,0,1.03716823037577,0.0100970561498589,1.32295633551837E-09,-9.43675929999229E-09,0.00222325407426665,-2.08772874866187E-06,0.0105840577017538,0,0,0,0,0,0,package://starlink_space_manipulator_merged.SLDASM9/meshes/starlink_space_manipulator_Upper_wrist_Link_2.STL,1,1,1,1,0,0,0,0,0,0,package://starlink_space_manipulator_merged.SLDASM9/meshes/starlink_space_manipulator_Upper_wrist_Link_2.STL,,主臂3-2;圆盖-1;圆盖-2,Origin_starlink_space_manipulator_Upper_wrist_Link_2_roll2,Axis_starlink_space_manipulator_Upper_wrist_Link_2_roll4,starlink_space_manipulator_Upper_wrist_Link_2_roll,continuous,0,-0.30020635628656,0,-0.0158640776811277,-0.0317448426184613,-2.67805461574742,starlink_space_manipulator_Upper_wrist_Link_1,0,0,1,0,0,0,0,,,,,,,,
starlink__space_manipulator_2F-Body_Link,0.000132893636818288,-0.122912145301831,0.000141178527731878,0,0,0,2.06098061435798,0.00357820981002093,-9.7173781739015E-06,-0.000377950837415894,0.00540179107539635,3.57093943209629E-06,0.0050632324449311,0,0,0,0,0,0,package://starlink_space_manipulator_merged.SLDASM9/meshes/starlink__space_manipulator_2F-Body_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://starlink_space_manipulator_merged.SLDASM9/meshes/starlink__space_manipulator_2F-Body_Link.STL,,转轴-1;爪子整体可动-1/RMG24 Claw 3D Model上部分-1;爪子整体可动-1/RMG24 Claw 3D Model表壳-1,Origin_starlink__space_manipulator_2F-Body_Link_yaw,Axis_starlink__space_manipulator_2F-Body_Link_yaw,starlink__space_manipulator_2F-Body_Link_yaw,revolute,0,0.34845,-0.0053813,-3.1416,0.93592,0,starlink_space_manipulator_Upper_wrist_Link_2,0,-1,0,0,0,0,0,,,,,,,,
starlink_space_manipulator_Finger1_2_Link,-0.128379781160824,0.00213384929263816,0.20765530277947,0,0,0,0.164012557851557,0.000137377814382494,5.75324125943043E-07,1.56204374379134E-05,0.000128174497717794,2.8915711708103E-06,5.56877077151319E-05,0,0,0,0,0,0,package://starlink_space_manipulator_merged.SLDASM9/meshes/starlink_space_manipulator_Finger1_2_Link.STL,1,1,1,1,0,0,0,0,0,0,package://starlink_space_manipulator_merged.SLDASM9/meshes/starlink_space_manipulator_Finger1_2_Link.STL,,爪子整体可动-1/爪子1-2,Origin_starlink_space_manipulator_Finger1_2_Link_roll4,基准轴8,starlink_space_manipulator_Finger1_2_Link_roll,prismatic,-0.2017,-0.10916,-0.04801,-1.5708,0.22747,-3.1416,starlink__space_manipulator_2F-Body_Link,-1,0,0,0,0,0,1,,,,,,,,
starlink_space_manipulator_Finger2_1_Link,-0.128379783275286,0.0021338497374519,0.207655316264438,0,0,0,0.164012525176243,0.000137377758573247,5.75327227385201E-07,1.56204303396715E-05,0.00012817444752134,2.89153901545968E-06,5.5687711839857E-05,0,0,0,0,0,0,package://starlink_space_manipulator_merged.SLDASM9/meshes/starlink_space_manipulator_Finger2_1_Link.STL,1,1,1,1,0,0,0,0,0,0,package://starlink_space_manipulator_merged.SLDASM9/meshes/starlink_space_manipulator_Finger2_1_Link.STL,,爪子整体可动-1/爪子2-1,Origin_starlink_space_manipulator_Finger2_1_Link_roll4,基准轴7,starlink_space_manipulator_Finger2_1_Link_roll,prismatic,0.20865,-0.10916,0.049619,1.5708,-0.22747,0,starlink__space_manipulator_2F-Body_Link,-1,0,0,0,0,0,1,,,,,,,,
