Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.10106,-0.035329,0.077989,0,0,0,2033.4,1247.2,-46.734,25.188,1152.9,-10.391,913.45,0,0,0,0,0,0,package://satellite/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://satellite/meshes/base_link.STL,,bodycase-1,circuit-1,body-1,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,
right_Link,4.8572E-16,-2.9005E-15,-0.07437,0,0,0,812.47,3662.9,-0.00000067748,-9.5225E-13,3143.1,1.2981E-12,520.78,0,0,0,0,0,0,package://satellite/meshes/right_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://satellite/meshes/right_Link.STL,,rightpanel-1,坐标系2,基准轴4,right_joint,fixed,0.0075184,-4.5591,0.0015235,1.5708,-0.8237,0,base_link,0,0,0,,,,,,,,,,,,
left_Link,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://satellite/meshes/left_Link.STL,1,1,1,1,0,0,0,0,0,0,package://satellite/meshes/left_Link.STL,,leftpanel-1,坐标系3,基准轴5,left_joint,fixed,0.0044704,4.5591,-0.0015245,-1.5708,-0.8237,0,base_link,0,0,0,,,,,,,,,,,,
